1T	120	121	21
1T	123	126	23
1T	118	120	27
1T	113	115	29
1T	127	131	32
1T	137	140	36
1T	141	146	40
1T	154	164	47
1T	176	177	57
1T	179	184	59
1T	186	190	64
1T	196	197	66
1T	197	200	68
1T	200	201	71
1T	201	204	72
1T	216	220	75
1T	223	224	79
1T	240	243	81
1T	260	264	87
1T	272	274	92
1T	297	302	95
1T	303	310	101
1T	332	340	109
1T	341	347	116
1T	347	353	124
1T	353	354	131
1T	384	389	133
1T	390	405	140
1T	405	409	157
1T	411	420	161
1T	422	424	172
1T	531	533	174
1T	549	551	176
1T	565	566	178
2T	354	376	181
2T	60	66	194
2T	89	93	198
2T	129	133	203
2T	133	136	208
2T	145	149	212
2T	171	173	217
2T	200	215	219
2T	232	233	236
2T	235	237	237
2T	261	268	239
2T	268	288	247
2T	294	296	253
2T	346	353	256
2T	451	453	264
2T	471	478	266
2T	577	582	273
2T	582	585	279
2T	585	587	282
2T	691	695	285
2T	702	705	290
3T	32	36	293
3T	79	81	297
3T	82	84	300
3T	92	94	302
3T	99	104	305
3T	113	116	311
3T	131	135	315
3T	161	1872	320
3T	185	186	321
3T	186	188	322
3T	195	196	325
3T	252	258	327
3T	265	269	334
3T	331	335	339
3T	358	362	342
3T	362	371	346
3T	373	378	356
3T	381	408	359
3T	428	433	390
3T	471	474	397
3T	474	477	401
3T	477	482	404
3T	482	485	410
3T	485	492	415
3T	541	544	425
3T	570	575	429
4T	9	15	435
4T	16	20	443
4T	25	28	450
4T	67	73	453
4T	73	76	461
4T	76	83	465
4T	84	94	473
4T	120	123	481
4T	144	148	484
4T	193	196	489
4T	247	254	494
4T	306	313	503
4T	353	355	512
4T	373	375	515
4T	384	387	518
4T	393	404	523
4T	428	429	536
4T	432	435	539
4T	462	476	541
4T	476	485	554
4T	485	489	564
4T	497	499	569
4T	503	508	573
4T	559	561	579
4T	583	586	582
4T	587	591	585
4T	594	596	590
4T	628	648	592
4T	656	657	602
